label,message
0,2 and half years i missed your friendship:-)
0,Can you say what happen
0,Went to ganesh dress shop
0,Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams
1,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
0,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/
0,aathi..where are you dear..
0,"My mobile number.pls sms ur mail id.convey regards to achan,amma.Rakhesh.Qatar"
0,"Nothing, i got msg frm tht unknown no.."
0,Prabha..i'm soryda..realy..frm heart i'm sory
0,They don't put that stuff on the roads to keep it from getting slippery over there?
0,At WHAT TIME should i come tomorrow
0,"Sorry, I can't text &amp; drive coherently, see you in twenty"
0,"chile, please! It's only a  &lt;DECIMAL&gt;  hour drive for me. I come down all the time and will be subletting feb-april for audition season."
0,Iâm going to try for 2 months ha ha only joking
0,Water logging in desert. Geoenvironmental implications.
0,Ok... Let u noe when i leave my house.
0,"Aight, see you in a bit"
0,Sen told that he is going to join his uncle finance in cbe
0,Aiyah e rain like quite big leh. If drizzling i can at least run home.
0,Thank god they are in bed!
0,Ã eatin later but i'm eatin wif my frens now lei... Ã going home first? 
0,Ok i msg u b4 i leave my house.
0,Ding me on ya break fassyole! Blacko from londn
0,Then we wait 4 u lor... No need 2 feel bad lar...
0,Thanx 4 sending me home...
0,Oi when you gonna ring
0,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
0,"Doing nothing, then u not having dinner w us?"
0,Bring tat cd don forget
1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's
0,"She is our sister.. She belongs 2 our family.. She is d hope of tomorrow.. Pray 4 her,who was fated 4 d Shoranur train incident. Lets hold our hands together &amp; fuelled by love &amp; concern prior 2 her grief &amp; pain. Pls join in dis chain &amp; pass it. STOP VIOLENCE AGAINST WOMEN."
0,"Yeah there's quite a bit left, I'll swing by tomorrow when I get up"
0,Haven't heard anything and he's not answering my texts so I'm guessing he flaked. That said the jb is fantastic
0,How abt making some of the pics bigger?
0,Oops I was in the shower when u called. Hey a parking garage collapsed at university hospital. See I'm not crazy. Stuff like that DOES happen.
0,"Haven't found a way to get another app for your phone, eh ? Will you go to the net cafe ? Did you take that job? Geeee I need you babe. I crave to see you ..."
1,it to 80488. Your 500 free text messages are valid until 31 December 2005.
0,Well its not like you actually called someone a punto. That woulda been worse.
0,"You know, wot people wear. T shirts, jumpers, hat, belt, is all we know. We r at Cribbs"
0,So dont use hook up any how
1,Missed call alert. These numbers called but left no message. 07008009200
0,Of course. I guess god's just got me on hold right now.
0,Thnx dude. u guys out 2nite?
0,Love it! The girls at the office may wonder why you are smiling but sore...
0,Does not operate after  &lt;#&gt;  or what
0,"Ok., is any problem to u frm him? Wats matter?"
0,I have no money 4 steve mate! !
0,She.s find. I sent you an offline message to know how anjola's now.
0,I dunno lei... Like dun haf...
0,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
0,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
0,Mm i am on the way to railway
0,I'm serious. You are in the money base
0,Kay... Since we are out already 
1,Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed Â£1000 cash or Â£5000 prize!
0,Yo theres no class tmrw right?
0,I'm meeting Darren...
0,Cheers for the card ... Is it that time of year already?
0,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
0,"By march ending, i should be ready. But will call you for sure. The problem is that my capital never complete. How far with you. How's work and the ladies"
0,My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
0,Man this bus is so so so slow. I think you're gonna get there before me
0,1's finish meeting call me.
0,thanks for the temales it was wonderful. Thank. Have a great week.
0,Ã v ma fan...
